Aba Boost 1,Aba Boost 2,Aba Boost 3,Aba Boost 4
161317,41299,123249,-3416
159750,29862,123178,-13054
155431,21315,127111,-19687
150112,14662,131594,-24569
144383,9699,135721,-27945
138415,8653,139727,-27865
118282,7102,163632,-54016
113558,1838,164522,-59751
108288,-5064,166094,-65209
103680,-15088,167092,-69973
100166,-29200,167002,-72701
98937,-38387,165743,-71301
95998,-45992,167858,-68372
80672,125922,204856,63653
81845,119331,204275,60523
83429,106737,202147,55629
85779,90479,198731,50071
87673,72989,195249,43339
89268,56444,192704,37844
91517,44889,190769,37337
147068,86702,177374,5909
152706,88364,168188,9081
158049,85691,158639,6640
162919,83251,150165,2151
164800,82184,147568,-4185
164526,80172,148460,-11177
163324,79756,152426,-14665
168791,39537,116713,3251
172153,36131,112865,89
174393,32725,111415,-4930
172344,38642,117074,-12672
167575,44163,121587,-14943
160356,47910,127194,-12467
154336,50506,130758,-5845
159563,47095,125373,5679
160718,38788,121796,-1277
159259,27131,121959,-10861
154903,18363,126089,-17418
149485,11491,130561,-22191
143631,6309,134545,-25397
137541,5047,138325,-25062
118052,6342,160710,-53872
113171,1091,161583,-59705
107611,-5873,163173,-65210
102688,-16114,164174,-69888
98838,-30680,164080,-72289
97305,-40283,162829,-70495
77551,120713,203239,59551
79292,107888,201220,54928
85856,56868,192282,37901
153041,87985,158981,4475
159569,82269,148549,-13099
166868,35318,110466,1625
161522,43846,118540,-14193
154081,47573,123949,-11733
155841,37149,120029,960
145107,9291,129195,-19410
139389,3921,133027,-22413
99151,-16369,160707,-69054
95209,-31359,160609,-71016
-36045,103355,150857,27535
-34289,92115,143849,31685
-22724,34160,146858,49497
-8330,73760,126414,44504
-5529,66697,123917,49873
4385,52107,119835,55295
7584,42922,119318,55553
10967,109277,130805,-47749
-8595,81721,108683,-10574
-11736,80486,103886,-4154
-5342,60700,118262,-8695
32,60660,123240,-12816
-2796,43546,136172,-33890
-4227,26801,135763,-26429
-36226,106310,156250,22567
-34958,101844,150384,24814
-33205,90953,143375,28809
-30216,75872,137582,34318
-24002,45556,139172,41923
-21854,34460,146608,45121
-10824,74238,129940,41996
-9393,72739,127643,45852
-6725,65881,125373,51328
-1593,59459,122773,54924
2960,51728,121742,56483
6041,42753,121459,56544
6782,38644,121094,52489
18168,109220,125376,-33709
12991,110761,129663,-42944
7946,107574,132266,-45055
3325,101057,133915,-41611
-4699,81395,116805,-7688
-11092,83848,110962,-6525
-13899,82387,106241,-518
-11548,62748,111856,-4525
-5625,64027,116887,-8431
-31,64197,122061,-12850
4061,64241,124221,-18246
659,56627,133431,-35734
-1401,47475,134885,-34110
-2737,31105,134827,-27029
-30316,104324,156052,19239
-29048,100024,150184,21410
-27295,89475,143173,25179
-24316,74834,137380,30284
-20893,59805,135907,34091
-18166,45370,139014,37031
-16159,34383,146627,39531
-6958,72860,131294,42675
-5672,71324,129228,47088
-3026,64664,127188,52804
2204,58464,124806,56458
6902,50954,123990,57906
10141,42201,123913,57775
11006,38116,123776,53655
20466,106652,127794,-30051
15666,108650,131642,-38575
10970,105790,133814,-40515
6704,99448,135038,-37343
1891,82521,120225,-4058
-3922,84730,114214,-3140
-6222,83026,109548,2429
-3817,79735,108293,8940
-4513,64101,111085,-4220
1498,65612,116260,-8454
7265,66023,121651,-13054
11578,66256,123956,-18461
9224,58932,132476,-35646
7252,50144,134198,-34061
5957,34201,134529,-27425
6747,20953,133715,-19230
-20470,98308,149858,17325
-18721,88107,142845,20844
-15752,73910,137052,25507
-12336,59356,135568,28879
-9655,45303,138721,31337
296,70060,130664,47672
2819,63599,128861,53737
8040,57644,126680,57628
12886,50398,126040,59122
16376,41928,126110,58926
21309,107293,132911,-32750
17036,104760,134680,-34533
13202,98590,135548,-31656
7551,85397,116847,-784
5827,83469,112181,4337
8535,80013,111179,10517
6777,65269,109671,-4265
12635,67083,115047,-8638
18352,67774,120702,-13236
19458,53192,132806,-33368
18166,37708,133516,-27165
18943,24739,133141,-19577
20287,65943,108103,-4652
25745,68135,113785,-9083
31148,69196,119802,-13533
29219,80539,142069,-6557
29907,79727,147393,-5481
52033,70879,127109,19113
55519,70139,130567,18201
35094,66370,106426,-4483
40099,68919,112473,-8679
45069,70395,118913,-12678
49006,71618,121932,-16789
30795,4351,162869,-6633
28893,12743,166403,-9217
37705,80809,142061,-4423
38464,79760,147786,-3861
42335,82203,151047,-6011
68624,104272,132128,-34732
59437,71637,124407,14097
63371,70171,129421,15927
66748,69538,133322,15280
67882,66484,135010,14319
47180,66804,104792,-3525
51750,69556,111196,-7292
56276,71430,118062,-10585
59764,73100,121424,-13854
51571,13695,148429,-4617
41006,7918,163042,-4290
38613,16265,167067,-6715
12682,46336,150068,-22394
43001,87049,137609,-6594
43784,81182,142122,-3713
44427,79893,148369,-3616
48184,82262,152300,-5891
74493,106693,139921,-34983
73951,104721,132023,-32063
72889,100205,127095,-27412
71893,93711,122669,-21181
65657,71117,125903,10637
69264,69630,131376,12324
72374,69104,135714,11962
73468,66326,137768,11405
59736,70212,110068,-5788
63819,72375,117363,-8335
58497,17241,147867,-1857
47368,11352,163044,-1546
44475,19653,167555,-3633
47785,35241,166221,-6367
48084,81712,142520,-3200
48505,80185,149401,-3571
52051,82479,154019,-5973
56220,84816,158722,-10015
76843,107517,140901,-32286
76427,105343,132373,-29470
75475,100729,127049,-24987
74528,94176,122652,-19099
71948,69186,133040,8763
74710,68768,137812,8715
75697,66265,140317,8587
51161,14547,162967,1006
47762,22802,167960,-711
50672,38394,167066,-3015
77625,106517,133475,-26307
76853,101709,127597,-22048
76038,95012,123028,-16462
75366,87654,123436,-11202
73948,68876,134340,5572
76347,68569,139553,5839
77215,66345,142521,6144
78510,108276,135360,-21547
77957,103251,128869,-17553
